Code,D_P,processed_Description,processed_Literal
H8110,D,"vertigo paroxistico benigno, oido no especificado",vertigos posicionales
H8113,D,"vertigo paroxistico benigno, bilateral",vertigo paroxistico
H8113,D,"vertigo paroxistico benigno, bilateral",vertigo periferico paroxistico benigno
H81399,D,"otros tipos de vertigo periferico, oido no especificado",vertigos perifericos
H81399,D,"otros tipos de vertigo periferico, oido no especificado",vertigo periferico
H81399,D,"otros tipos de vertigo periferico, oido no especificado",vertiginoso periferico
H81399,D,"otros tipos de vertigo periferico, oido no especificado",vertigo periferico
H81399,D,"otros tipos de vertigo periferico, oido no especificado",vertigo periferico
H81399,D,"otros tipos de vertigo periferico, oido no especificado",vertigo periferico
H81399,D,"otros tipos de vertigo periferico, oido no especificado",vertigo periferico
H81399,D,"otros tipos de vertigo periferico, oido no especificado",sindrome vertiginoso periferico
H81399,D,"otros tipos de vertigo periferico, oido no especificado",vertigo periferico.
H900,D,"hipoacusia conductiva, bilateral",hipoacusia de transmision
H903,D,"hipoacusia neurosensorial, bilateral",hipoacusia bilateral congenita
H903,D,"hipoacusia neurosensorial, bilateral",hipoacusia neurosensorial bilateral
H903,D,"hipoacusia neurosensorial, bilateral",hipoacudia neurosensorial bilateral
H903,D,"hipoacusia neurosensorial, bilateral",hipoacusia neurosensorial bilateral
H905,D,perdida auditiva neurosensorial no especificada,hipoacusia neurosensorial
H905,D,perdida auditiva neurosensorial no especificada,sordera neurosensorial
H905,D,perdida auditiva neurosensorial no especificada,sordera congenita
H9110,D,"presbiacusia, oido no especificado",presbiacusia
H9113,D,"presbiacusia, bilateral",presbiacusia bilateral
H9190,D,"perdida de audicion no especificada, oido no especificado",hipoacusia
H9190,D,"perdida de audicion no especificada, oido no especificado",hipoacusia
H9190,D,"perdida de audicion no especificada, oido no especificado",hipoacusia parto
H9190,D,"perdida de audicion no especificada, oido no especificado",hipoacusia
H9190,D,"perdida de audicion no especificada, oido no especificado",hipoacusia severa
H9191,D,"perdida de audicion no especificada, oido derecho",hipoacusia derecha
H9191,D,"perdida de audicion no especificada, oido derecho",hipoacusia derecha
H9192,D,"perdida de audicion no especificada, oido izquierdo",hipoacusia oi
H9192,D,"perdida de audicion no especificada, oido izquierdo",hipoacusia izquierda
H9193,D,"perdida de audicion no especificada, bilateral",hipoacusia bilateral
H9193,D,"perdida de audicion no especificada, bilateral",sordera bilateral
H9193,D,"perdida de audicion no especificada, bilateral",hipoacusia bilateral
H9193,D,"perdida de audicion no especificada, bilateral",sordera
H9193,D,"perdida de audicion no especificada, bilateral",sordera
H9313,D,"acufenos [tinnitus], bilaterales",acufeno bilateral
H9319,D,"acufenos [tinnitus], oido no especificado",acufenos
H9319,D,"acufenos [tinnitus], oido no especificado",tinnitus
I050,D,estenosis mitral reumatica,estenosis mitral reumatica
I051,D,insuficiencia mitral reumatica,insuficiencia mitral reumatica
I051,D,insuficiencia mitral reumatica,insuficiencia mitral reumatica
I071,D,insuficiencia tricuspidea reumatica,it
I071,D,insuficiencia tricuspidea reumatica,it
I071,D,insuficiencia tricuspidea reumatica,insuficiencia tricuspidea
I080,D,trastornos reumaticos tanto de la valvula mitral como de la aortica,valvulopatia mitroaortica
I080,D,trastornos reumaticos tanto de la valvula mitral como de la aortica,esclerosis valvular mitroaortica
I080,D,trastornos reumaticos tanto de la valvula mitral como de la aortica,estenosis aortica severa e insuficiencia mitral
I080,D,trastornos reumaticos tanto de la valvula mitral como de la aortica,insuficiencia valvula aortica
I080,D,trastornos reumaticos tanto de la valvula mitral como de la aortica,valvulopatia mitroaortica
I080,D,trastornos reumaticos tanto de la valvula mitral como de la aortica,insuficiencia mitral y aortica
I080,D,trastornos reumaticos tanto de la valvula mitral como de la aortica,ia + im
I081,D,trastornos reumaticos tanto de la valvula mitral como de la tricuspide,insuficiencia mitral y tricuspidea
I081,D,trastornos reumaticos tanto de la valvula mitral como de la tricuspide,im it
I081,D,trastornos reumaticos tanto de la valvula mitral como de la tricuspide,im it
I083,D,"trastornos reumaticos combinados de las valvulas mitral, aortica y tricuspide",im ia it
I10,D,hipertension esencial (primaria),hipertensio arterial
I10,D,hipertension esencial (primaria),hipertension esencial
I10,D,hipertension esencial (primaria),hipertension arterial cronica
I10,D,hipertension esencial (primaria),hipertensio
I10,D,hipertension esencial (primaria),hipetension arterial
I10,D,hipertension esencial (primaria),hipertensio
I10,D,hipertension esencial (primaria),hipertension arterial
I10,D,hipertension esencial (primaria),hipertension
I10,D,hipertension esencial (primaria),hipertension
I10,D,hipertension esencial (primaria),hipertension esencial
I10,D,hipertension esencial (primaria),hipertension
I10,D,hipertension esencial (primaria),hipertension arterial esencial
I10,D,hipertension esencial (primaria),hipertension arterial
I10,D,hipertension esencial (primaria),hipertension
I10,D,hipertension esencial (primaria),hipertension arterial
I10,D,hipertension esencial (primaria),hipertension arterial
I10,D,hipertension esencial (primaria),hiptertension
I110,D,enfermedad cardiaca hipertensiva con insuficiencia cardiaca,hipertension arterial insuficiencia cardiaca congestiva
I110,D,enfermedad cardiaca hipertensiva con insuficiencia cardiaca,hipertension arterial insuficiencia cardiaca
I110,D,enfermedad cardiaca hipertensiva con insuficiencia cardiaca,hipertension insuficiencia cardiaca
I110,D,enfermedad cardiaca hipertensiva con insuficiencia cardiaca,hipertension insuficiencia cardiaca
I110,D,enfermedad cardiaca hipertensiva con insuficiencia cardiaca,hipertension arterial insuficiencia cardiaca congestiva
I119,D,enfermedad cardiaca hipertensiva sin insuficiencia cardiaca,cardiopatia hipertensiva
I119,D,enfermedad cardiaca hipertensiva sin insuficiencia cardiaca,cardiopatia hipertensiva
I119,D,enfermedad cardiaca hipertensiva sin insuficiencia cardiaca,cardiopatia hipertensiva
I119,D,enfermedad cardiaca hipertensiva sin insuficiencia cardiaca,cardiopatia hipertension arterial
I119,D,enfermedad cardiaca hipertensiva sin insuficiencia cardiaca,cardiopatia hipertensiva
I120,D,enfermedad renal cronica hipertensiva con enfermedad renal cronica en estadio 5 o con enfermedad renal en estadio terminal,hipertension arterial insuficiencia renal cronica 5
I120,D,enfermedad renal cronica hipertensiva con enfermedad renal cronica en estadio 5 o con enfermedad renal en estadio terminal,hipertension arterial insuficiencia renal cronica 5
I120,D,enfermedad renal cronica hipertensiva con enfermedad renal cronica en estadio 5 o con enfermedad renal en estadio terminal,hipertension arterial erc grado 5
I120,D,enfermedad renal cronica hipertensiva con enfermedad renal cronica en estadio 5 o con enfermedad renal en estadio terminal,hipertension arterial insuficiencia renal cronica 5
I129,D,enfermedad renal cronica hipertensiva con enfermedad renal cronica en estadio 1 a 4 o con enfermedad renal cronica no especificada,hipertension enfermedad renal cronica
I129,D,enfermedad renal cronica hipertensiva con enfermedad renal cronica en estadio 1 a 4 o con enfermedad renal cronica no especificada,hipertension arterial insuficiencia renal cronica
I129,D,enfermedad renal cronica hipertensiva con enfermedad renal cronica en estadio 1 a 4 o con enfermedad renal cronica no especificada,hipertension arterial insuficiencia renal cronica 2
I129,D,enfermedad renal cronica hipertensiva con enfermedad renal cronica en estadio 1 a 4 o con enfermedad renal cronica no especificada,hipertension enfermedad renal cronica estadio 4
I129,D,enfermedad renal cronica hipertensiva con enfermedad renal cronica en estadio 1 a 4 o con enfermedad renal cronica no especificada,enfermedad renal cronica hipertension arterial
I129,D,enfermedad renal cronica hipertensiva con enfermedad renal cronica en estadio 1 a 4 o con enfermedad renal cronica no especificada,shock septico
I129,D,enfermedad renal cronica hipertensiva con enfermedad renal cronica en estadio 1 a 4 o con enfermedad renal cronica no especificada,hipertension arterial enfermedad renal cronica estadio iiia
I129,D,enfermedad renal cronica hipertensiva con enfermedad renal cronica en estadio 1 a 4 o con enfermedad renal cronica no especificada,hipertension arterial insuficiencia renal cronica 3
I129,D,enfermedad renal cronica hipertensiva con enfermedad renal cronica en estadio 1 a 4 o con enfermedad renal cronica no especificada,hipertensio insuficiencia renal cronica
I129,D,enfermedad renal cronica hipertensiva con enfermedad renal cronica en estadio 1 a 4 o con enfermedad renal cronica no especificada,hipertensio malaltia renal cronica
I129,D,enfermedad renal cronica hipertensiva con enfermedad renal cronica en estadio 1 a 4 o con enfermedad renal cronica no especificada,"hipertension arterial enfermedad renal cronica, estadio 3"
I129,D,enfermedad renal cronica hipertensiva con enfermedad renal cronica en estadio 1 a 4 o con enfermedad renal cronica no especificada,hipertension arterial insuficiencia renal cronica 2
I129,D,enfermedad renal cronica hipertensiva con enfermedad renal cronica en estadio 1 a 4 o con enfermedad renal cronica no especificada,hipertension insufiencia renal cronica estadio 3
I129,D,enfermedad renal cronica hipertensiva con enfermedad renal cronica en estadio 1 a 4 o con enfermedad renal cronica no especificada,hipertension arterial + insuficiencia renal cronica
I129,D,enfermedad renal cronica hipertensiva con enfermedad renal cronica en estadio 1 a 4 o con enfermedad renal cronica no especificada,hipertension arterial erc 3
I129,D,enfermedad renal cronica hipertensiva con enfermedad renal cronica en estadio 1 a 4 o con enfermedad renal cronica no especificada,hipertension arterial insuficiencia renal cronica 3
I129,D,enfermedad renal cronica hipertensiva con enfermedad renal cronica en estadio 1 a 4 o con enfermedad renal cronica no especificada,hipertension arterial insuficiencia renal cronica
I129,D,enfermedad renal cronica hipertensiva con enfermedad renal cronica en estadio 1 a 4 o con enfermedad renal cronica no especificada,hipertension insuficiencia renal cronica
I129,D,enfermedad renal cronica hipertensiva con enfermedad renal cronica en estadio 1 a 4 o con enfermedad renal cronica no especificada,hipertension arterial insuficiencia renal cronica
I129,D,enfermedad renal cronica hipertensiva con enfermedad renal cronica en estadio 1 a 4 o con enfermedad renal cronica no especificada,enfermedad renal cronica - hipertension arterial
I129,D,enfermedad renal cronica hipertensiva con enfermedad renal cronica en estadio 1 a 4 o con enfermedad renal cronica no especificada,hipertension arterial insuficiencia renal cronica 4
I130,D,enfermedad cardiaca y renal cronica hipertensiva con insuficiencia cardiaca y enfermedad renal cronica estadios 1 a 4 o enfermedad renal cronica no especificada,hipertension arterial insuficiencia renal cronica insuficiencia cardiaca congestiva
I130,D,enfermedad cardiaca y renal cronica hipertensiva con insuficiencia cardiaca y enfermedad renal cronica estadios 1 a 4 o enfermedad renal cronica no especificada,hipertension arterial erc insuficiencia cardiaca congestiva
I130,D,enfermedad cardiaca y renal cronica hipertensiva con insuficiencia cardiaca y enfermedad renal cronica estadios 1 a 4 o enfermedad renal cronica no especificada,hipertension arterial insuficiencia cardiaca congestiva insuficiencia renal cronica
I130,D,enfermedad cardiaca y renal cronica hipertensiva con insuficiencia cardiaca y enfermedad renal cronica estadios 1 a 4 o enfermedad renal cronica no especificada,hipertension arterial insuficiencia cardiaca congestiva insuficiencia renal cronica 3
I130,D,enfermedad cardiaca y renal cronica hipertensiva con insuficiencia cardiaca y enfermedad renal cronica estadios 1 a 4 o enfermedad renal cronica no especificada,hta. erc insuficiencia cardiaca congestiva
I130,D,enfermedad cardiaca y renal cronica hipertensiva con insuficiencia cardiaca y enfermedad renal cronica estadios 1 a 4 o enfermedad renal cronica no especificada,hipertension arterial insuficiencia renal cronica insuficiencia cardiaca congestiva
I130,D,enfermedad cardiaca y renal cronica hipertensiva con insuficiencia cardiaca y enfermedad renal cronica estadios 1 a 4 o enfermedad renal cronica no especificada,hipertension arterial insuficiencia cardiaca congestiva insuficiencia renal cronica
I130,D,enfermedad cardiaca y renal cronica hipertensiva con insuficiencia cardiaca y enfermedad renal cronica estadios 1 a 4 o enfermedad renal cronica no especificada,hipertension arterial insuficiencia renal cronica 4 insuficiencia cardiaca congestiva
I130,D,enfermedad cardiaca y renal cronica hipertensiva con insuficiencia cardiaca y enfermedad renal cronica estadios 1 a 4 o enfermedad renal cronica no especificada,hipertension insuficiencia cardiaca insuficiencia renal cronica
I130,D,enfermedad cardiaca y renal cronica hipertensiva con insuficiencia cardiaca y enfermedad renal cronica estadios 1 a 4 o enfermedad renal cronica no especificada,hipertension arterial insuficiencia renal cronica insuficiencia cardiaca congestiva
I161,D,emergencia hipertensiva,emergencia hipertensiva
I169,D,"crisis hipertensiva, no especificada",crisis hipertensiva
I169,D,"crisis hipertensiva, no especificada",crisis hipertensiva
I169,D,"crisis hipertensiva, no especificada",crisis hipertensiva
I200,D,angina inestable,angina inestable
I208,D,otras formas de angina de pecho,angina de esfuerzo
I208,D,otras formas de angina de pecho,angina de esfuerzo
I208,D,otras formas de angina de pecho,angina de esfuerzo
I208,D,otras formas de angina de pecho,angor estable
I209,D,"angina de pecho, no especificada",angina de esfuerzo estable
I209,D,"angina de pecho, no especificada",angina
I209,D,"angina de pecho, no especificada",i20.9
I214,D,infarto agudo de miocardio sin elevacion de st (iamsest) (imnest) (nstemi),i21.4
I214,D,infarto agudo de miocardio sin elevacion de st (iamsest) (imnest) (nstemi),infart de miocardi sense elevacio del segment st
I2510,D,enfermedad cardiaca aterosclerotica de arteria coronaria nativa sin angina de pecho,enfermedad coronaria
